Name of School,Alt Name of School,Type,2020 - 2021,2021 - 2022,2022 - 2023,2023 - 2024,2024 - 2025,2025 - 2026,2026 - 2027,2027 - 2028,2028 - 2029,2029 - 2030,,
Alpine Summit,Alpine,Elementary,640,621,608,572,535,502,470,445,427,391,,
Aspen,Aspen,Elementary,400,380,419,415,416,413,408,402,402,399,,
Barratt Elementary,Barratt,Elementary,516,528,518,553,531,517,493,491,462,448,,
Belmont Elementary,Belmont,Elementary,861,952,989,881,901,909,925,939,958,995,,
Black Ridge Elementary,Black Ridge,Elementary,1070,1182,1189,812,821,795,809,797,791,779,,
Bonneville Elementary,Bonneville,Elementary,510,512,516,512,509,497,503,508,497,482,,
Brookhaven Elementary,Brookhaven,Elementary,782,943,986,1031,1074,1086,1132,1164,1185,1238,,
Cascade Elementary,Cascade,Elementary,694,702,704,851,876,834,843,851,847,859,,
Cedar Ridge Elementary,Cedar Ridge,Elementary,702,716,681,660,662,628,625,615,607,595,,
Cedar Valley High,Cedar Valley,Elementary,89,103,118,111,106,160,214,322,434,547,,
Centennial Elementary,Centennial,Elementary,727,740,689,741,716,705,679,666,645,637,,
Central Elementary,Central,Elementary,479,477,462,676,594,548,524,496,458,440,,
Cherry Hill Elementary,Cherry Hill,Elementary,670,687,697,656,633,597,580,569,551,524,,
Deerfield Elementary,Deerfield,Elementary,579,554,532,529,505,480,475,478,494,509,,
Desert Sky Elementary,Deseret Sky,Elementary,,,,994,1087,1184,1285,1377,1434,1528,,
Dry Creek Elementary,Dry Creek,Elementary,940,1049,1079,1081,1111,1119,1157,1174,1185,1186,,
Eagle Valley Elementary,Eagle Valley,Elementary,752,854,906,798,776,752,743,722,677,660,,
Eaglecrest Elementary,Eaglecrest,Elementary,856,838,816,780,701,659,631,606,592,577,,
Foothill Elementary,Foothill,Elementary,563,561,546,535,488,461,420,387,370,351,,
Forbes Elementary,Forbes,Elementary,414,411,417,573,546,532,536,530,534,529,,
Fox Hollow Elementary,Fox Hollow,Elementary,674,738,731,724,711,680,669,639,616,586,,
Freedom Elementary,Freedom,Elementary,816,773,721,689,623,568,552,516,500,494,,
Geneva Elementary,Geneva,Elementary,264,,,,,,,,,,,
Greenwood Elementary,Greenwood,Elementary,684,778,873,634,658,719,795,885,984,1114,,
Grovecrest Elementary,Grovecrest,Elementary,656,635,630,691,681,646,627,621,610,595,,
Harbor Point Elementary,Harbor Point,Elementary,,635,670,704,690,677,682,659,662,652,,
Harvest Elementary,Harvest,Elementary,943,1017,997,1018,988,961,969,974,949,968,,
Hidden Hollow Elementary,Hidden Hollow,Elementary,997,1044,1065,861,892,908,918,922,940,948,,
Highland Elementary,Highland,Elementary,725,725,641,605,584,537,515,493,469,466,,
Legacy Elementary,Legacy,Elementary,751,738,761,797,766,765,756,748,734,728,,
Lehi Elementary,Lehi,Elementary,551,522,495,457,476,474,472,458,463,463,,
Liberty Hills Elementary,Liberty Hills,Elementary,532,611,675,752,824,882,939,1009,1061,1128,,
Lindon Elementary,Lindon,Elementary,615,628,609,573,538,513,477,451,438,441,,
Manila Elementary,Manila,Elementary,603,615,548,537,540,527,536,561,577,620,,
Meadow Elementary,Meadow,Elementary,705,658,639,628,574,565,547,545,545,532,,
Mount Mahogany Elementary,Mount Mahogany,Elementary,682,620,620,623,585,581,575,578,569,565,,
Mountain Trails Elementary,Mountain Trails,Elementary,832,1087,1235,779,831,951,1059,1179,1284,1385,,
North Point Elementary,North Point,Elementary,701,848,951,992,1057,1120,1244,1368,1437,1548,,
Northridge Elementary,Northridge,Elementary,622,539,451,392,393,357,348,346,342,339,,
Orchard Elementary,Orchard,Elementary,659,692,668,619,589,550,514,470,429,402,,
Orem Elementary,Orem,Elementary,638,664,648,623,618,642,624,617,622,624,,
Parkside Elementary,Parkside,Elementary,,569,573,567,549,527,521,531,525,523,,
Pony Express Elementary,Pony Express,Elementary,915,1036,1046,1013,975,969,962,944,937,941,,
Ridgeline Elementary,Ridgeline,Elementary,905,862,844,812,702,672,641,578,549,524,,
River Rock Elementary,River Rock,Elementary,929,1024,1001,957,932,900,845,785,715,668,,
Riverview Elementary,Riverview,Elementary,934,948,971,968,957,940,939,912,888,848,,
Rocky Mountain Elementary,Rocky Mountain,Elementary,584,620,566,477,480,449,437,425,418,408,,
Sage Hills Elementary,Sage Hills,Elementary,1033,908,916,902,851,840,753,728,660,611,,
Saratoga Shores Elementary,Saratoga Shores,Elementary,825,697,719,735,723,707,716,728,714,739,,
Sego Lily Elementary,Sego Lily,Elementary,665,697,646,629,604,591,581,567,540,535,,
Sharon Elementary,Sharon,Elementary,353,332,299,,,,,,,,,
Shelley Elementary,Shelley,Elementary,833,824,808,751,732,693,666,638,619,614,,
Silver Lake Elementary,Silver Lake,Elementary,601,690,715,746,781,786,812,834,853,879,,
Snow Springs Elementary,Snow Springs,Elementary,811,782,772,752,769,748,714,672,646,608,,
Springside Elementary,Springside,Elementary,871,678,729,747,821,872,918,978,1034,1073,,
Sincerest Elementry,Suncrest,Elementary,339,,,,,,,,,,,
Thunder Ridge Elementary,Thunder Ridge,Elementary,715,948,981,991,1034,1062,1114,1151,1187,1241,,
Trailside Elementary,Trailside,Elementary,,831,855,987,1043,1079,1126,1149,1209,1257,,
Traverse Mountain Elementary,Traverse Mountain,Elementary,678,699,668,864,836,794,765,731,701,704,,
Valley View Elementary,Valley View,Elementary,402,407,389,,,,,,,,,
Vineyard Elementary,Vineyard,Elementary,1230,761,747,688,713,694,694,686,688,684,,
Westfield Elementary,Westfield,Elementary,568,600,597,579,547,502,496,481,461,444,,
Westmore Elementary,Westmore,Elementary,421,446,464,473,496,501,505,510,490,480,,
Windsor Elementary,Windsor,Elementary,532,524,507,525,549,548,538,523,505,485,,
American Fork Jr. High,American Fork,Middle,1949,1972,1899,1863,1839,1837,1840,1804,1811,1783,,
Canyon View Jr High,Canyon View,Middle,1196,1186,1117,1098,1073,1093,1081,1058,1019,974,,
Frontier Middle,Frontier,Middle,1420,1581,1641,1704,1792,1904,1888,1980,2189,2258,,
Lake Mountain Middle,Lake Mountain,Middle,1341,1361,1416,1432,1480,1495,1560,1562,1624,1606,,
Lakeridge Jr High,Lakeridge,Middle,1188,1347,1393,1365,1345,1332,1350,1344,1353,1328,,
Lehi Jr. High,Lehi,Middle,1360,1001,998,1237,1381,1458,1418,1364,1341,1316,,
Mountain Ridge Jr. High,Mountain Ridge,Middle,1158,1137,1079,1035,960,969,888,873,784,751,,
Oak Canyon Jr High,Oak Canyon,Middle,1365,1386,1346,1359,1301,1261,1176,1135,1064,1001,,
Orem Jr. High,Orem,Middle,1030,1013,964,894,973,1002,1077,1097,1094,1112,,
Pleasant Grove Jr. High,Pleasant Grove,Middle,1350,1321,1258,1247,1182,1145,1113,1081,1066,1015,,
Timberline Middle,Timberline,Middle,1436,1428,1318,1342,1324,1294,1232,1174,1110,1093,,
Viewpoint Middle,Viewpoint,Middle,,1711,1799,1733,1670,1620,1683,1775,1835,1848,,
Vista Heights Middle,Vista Heights,Middle,1301,1464,1520,1606,1685,1812,1813,1914,1977,2053,,
Willowcreek Middle,Willowcreek,Middle,2080,1663,1749,1645,1592,1593,1623,1690,1777,1819,,
American Fork High,American Fork,High,2433,2381,2415,2339,2320,2199,2147,2090,2092,2072,,
Cedar Valley High,Cedar Valley,High,2339,2679,2944,3196,3315,3538,3663,3843,3927,4069,,
Lehi High,Lehi,High,1717,1815,1982,2098,2241,2317,2335,2335,2368,2379,,
Lone Peak High,Lone Peak,High,2486,2455,2465,2495,2471,2344,2291,2218,2186,2065,,
Mountain View High,Mountain View,High,1357,1412,1513,1549,1600,1560,1544,1573,1586,1642,,
Orem High,Orem,High,1243,1267,1290,1306,1229,1189,1162,1155,1170,1164,,
Pleasant Grove High,Pleasant Grove,High,2212,2140,2097,2009,1904,1833,1789,1734,1676,1603,,
Polaris High,Polaris,High,113,211,194,200,160,150,145,150,150,150,,
Polaris West High,Polaris West,High,123,,,,,,,,,,,
Skyridge High,Skyridge,High,3003,2366,2383,2468,2487,2511,2478,2503,2485,2527,,
Timpanogos High,Timpanogos,High,1364,1309,1363,1466,1475,1459,1392,1380,1365,1351,,
Westlake High,Westlake,High,2351,2462,2676,2864,3077,3168,3333,3413,3548,3614,,
